Tijdstempel	E-mailadres	Datum	Start tijd	Eind tijd	Spot	Hoe goed was de surf?	Hoe was de surf? Alleen invullen bij een nat pak (: [Mellow]	Type data	Type board	Hoe was de surf? Alleen invullen bij een nat pak (: [Clean]	Hoe was de surf? Alleen invullen bij een nat pak (: [Krachtig]	Hoe was de surf? Alleen invullen bij een nat pak (: [Lange ritjes]	Hoe was de surf? Alleen invullen bij een nat pak (: [Stijle golven]	Hoe was de surf? Alleen invullen bij een nat pak (: [Stroming]	Hoe was de surf? Alleen invullen bij een nat pak (: [Crowd]	Hoe was de surf? Alleen invullen bij een nat pak (: [Hoog]	Hoe was de surf? Alleen invullen bij een nat pak (: [Windy]	Hoe hoog was het?	Hoe was de surf? Alleen invullen bij een nat pak (: [Voor beginners]	Best geschikt voor ...	Data comments
28-11-2024		9-6-2024	18:45	19:15	Wijk aan zee	6,5		Nat pak	Longboard						Heel erg			Overhead			Pim stuurde 09-06-2024 naar zichzelf: 19:00 bij wijk. Overhead golven. Leuk voor short en fish 8. Minder leuk voor longboard door stijle golven  6. Best wel crowded. Nat pak
28-11-2024		10-6-2024	6:15	6:45	Wijk aan zee	8,5		Webcam	Fish of funboard												Pim stuurde 10-06-2024 naar zichzelf: 06:30 bij wijk een 8.5 voor fish en short. 8 voor longboard. Best clean. Zelfde waarsch voor zandvoort. Verder van de pier lijkt het niet zo goed als bij de pier
28-11-2024		10-6-2024	6:15	6:45	Wijk aan zee	8,5		Webcam	Shortboard												Pim stuurde 10-06-2024 naar zichzelf: 06:30 bij wijk een 8.5 voor fish en short. 8 voor longboard. Best clean. Zelfde waarsch voor zandvoort. Verder van de pier lijkt het niet zo goed als bij de pier
28-11-2024		10-6-2024	6:15	6:45	Wijk aan zee	8		Webcam	Longboard	Best wel											Pim stuurde 10-06-2024 naar zichzelf: 06:30 bij wijk een 8.5 voor fish en short. 8 voor longboard. Best clean. Zelfde waarsch voor zandvoort. Verder van de pier lijkt het niet zo goed als bij de pier
28-11-2024		10-6-2024	9:30	12:00	Zandvoort	8,5		Hind sight (Surfweer)	Shortboard	Heel erg											Om 04:21 op 10-06-2024 stuurde iemand dat Zandvoort goed was tussen 09:30 en 12:00. Heb de foto's gezien en er waren toen barrels
28-11-2024		10-6-2024	9:30	12:00	Zandvoort	8,5		Hind sight (Surfweer)	Fish of funboard	Heel erg											Om 04:21 op 10-06-2024 stuurde iemand dat Zandvoort goed was tussen 09:30 en 12:00. Heb de foto's gezien en er waren toen barrels
28-11-2024		10-6-2024	9:30	12:00	Zandvoort	8		Hind sight (Surfweer)	Longboard	Heel erg											Om 04:21 op 10-06-2024 stuurde iemand dat Zandvoort goed was tussen 09:30 en 12:00. Heb de foto's gezien en er waren toen barrels
28-11-2024		10-6-2024	9:30	12:00	Wijk aan zee	8,5		Hind sight (Surfweer)	Shortboard	Heel erg											Iemand zei dat Wijk heerlijk was in de ochtend. Heb de foto's gezien en er waren toen barrels
28-11-2024		10-6-2024	9:30	12:00	Wijk aan zee	8,5		Hind sight (Surfweer)	Fish of funboard	Heel erg											Iemand zei dat Wijk heerlijk was in de ochtend. Heb de foto's gezien en er waren toen barrels
28-11-2024		10-6-2024	9:30	12:00	Wijk aan zee	8		Hind sight (Surfweer)	Longboard	Heel erg											Iemand zei dat Wijk heerlijk was in de ochtend. Heb de foto's gezien en er waren toen barrels
