Tijdstempel	E-mailadres	Datum	Start tijd	Eind tijd	Spot	Hoe goed was de surf?	Hoe was de surf? Alleen invullen bij een nat pak (: [Mellow]	Type data	Type board	Hoe was de surf? Alleen invullen bij een nat pak (: [Clean]	Hoe was de surf? Alleen invullen bij een nat pak (: [Krachtig]	Hoe was de surf? Alleen invullen bij een nat pak (: [Lange ritjes]	Hoe was de surf? Alleen invullen bij een nat pak (: [Stijle golven]	Hoe was de surf? Alleen invullen bij een nat pak (: [Stroming]	Hoe was de surf? Alleen invullen bij een nat pak (: [Crowd]	Hoe was de surf? Alleen invullen bij een nat pak (: [Hoog]	Hoe was de surf? Alleen invullen bij een nat pak (: [Windy]	Hoe hoog was het?	Hoe was de surf? Alleen invullen bij een nat pak (: [Voor beginners]	Best geschikt voor ...	Data comments
6-10-2023 12:03:17		6-10-2023	11:30:00	12:30:00	Wijk aan zee	7		Cam													
4-10-2023 18:26:42		4-10-2023	16:30:00	18:00:00	ZV Bloemendaal	7		Nat pak	Short board	Helemaal niet	Best wel	Een beetje	Best wel	Een beetje	Helemaal niet	Best wel	Een beetje				
4-10-2023 13:45:08		4-10-2023	13:00:00	14:00:00	ZV	3		Cam													
1-10-2023 15:31:38		30-9-2023	19:00:00	20:30:00	Castricum	4		Eyeball													
1-10-2023 15:30:03		1-10-2023	10:30:00	10:30:00	ZV Parnassia	4		Eyeball													
30-9-2023 9:52:12		30-9-2023	8:30:00	9:30:00	ZV Bloemendaal	4		Cam													
29-9-2023 8:56:48		28-9-2023	18:00:00	19:00:00	ZV Bloemendaal	6		Nat pak	Fish of funboard	Een beetje	Een beetje	Helemaal niet	Best wel	Een beetje	Helemaal niet	Een beetje	Helemaal niet				
28-9-2023 14:00:28		24-9-2023	19:00:00	20:00:00	ZV Bloemendaal	9		Nat pak	Fish of funboard	Heel erg	Heel erg	Heel erg	Een beetje	Een beetje	Een beetje	Best wel	Helemaal niet				
28-9-2023 13:59:01		28-9-2023	10:00:00	11:30:00	ZV Bloemendaal	7		Nat pak	Fish of funboard	Helemaal niet	Best wel	Een beetje	Best wel	Heel erg	Helemaal niet	Best wel	Best wel				
28-9-2023 10:11:56		27-9-2023	17:00:00	19:00:00	ZV Bloemendaal	1		Nat pak													
25-9-2023 17:05:04		23-9-2023	14:00:00	16:00:00	Scheveningen hartbeach	6		Nat pak	Fish of funboard	Een beetje	Een beetje	Helemaal niet	Best wel	Een beetje	Best wel	Best wel	Best wel				
25-9-2023 11:57:59		25-9-2023	7:30:00	8:30:00	ZV Bloemendaal	3		Eyeball													
23-9-2023 18:41:35		23-9-2023	12:00:00	14:00:00	ZV Bloemendaal	3		Nat pak	Short board	Een beetje	Helemaal niet	Helemaal niet	Helemaal niet	Een beetje	Helemaal niet	Helemaal niet	Een beetje				
23-9-2023 18:33:34		23-9-2023	14:00:00	16:00:00	ZV Parnassia	4		Eyeball													
21-9-2023 8:33:06		20-9-2023	18:00:00	20:00:00	ZV Bloemendaal	8		Nat pak	Fish of funboard	Een beetje	Heel erg	Heel erg	Best wel	Heel erg	Helemaal niet	Best wel	Een beetje				
14-9-2023 14:14:28		13-9-2023	18:00:00	20:15:00	ZV Bloemendaal	8		Nat pak	Fish of funboard	Heel erg	Een beetje	Best wel	Een beetje	Een beetje	Een beetje	Een beetje	Helemaal niet				
13-9-2023 23:32:46		13-9-2023	17:45:00	19:30:00	Scheveningen zuid	8		Nat pak	Short board	Best wel	Best wel	Een beetje	Een beetje	Best wel	Een beetje	Best wel	Helemaal niet				
13-9-2023 23:20:36		13-9-2023	17:45:00	19:45:00	Scheveningen zuid	7		Nat pak	Short board	Best wel	Een beetje	Best wel	Een beetje	Heel erg	Best wel	Een beetje	Een beetje				
13-9-2023 23:17:31		13-9-2023	18:00:00	20:00:00	Scheveningen zuid	8		Nat pak	Longboard	Een beetje	Best wel	Best wel	Een beetje	Heel erg	Best wel	Best wel	Best wel				
9-9-2023 13:14:43		9-9-2023	0:01:00	23:59:00	ZV Parnassia	1		Eyeball			Helemaal niet					Helemaal niet					
4-9-2023 8:35:11		4-9-2023	8:00:00	9:00:00	Wijk aan zee	1		Cam		Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet				
20-8-2023 20:42:00		20-8-2023	15:00:00	17:00:00	Zandvoort Naakstrand	2		Eyeball		Een beetje	Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet				
11-8-2023 21:45:36		10-8-2023	19:30:00	22:00:00	ZV Parnassia	10		Nat pak	Fish of funboard	Heel erg	Heel erg	Heel erg	Heel erg	Helemaal niet	Heel erg	Heel erg	Helemaal niet				
11-8-2023 12:07:02		10-8-2023	19:30:00	22:00:00	ZV Bloemendaal	9		Nat pak	Fish of funboard	Heel erg	Best wel	Best wel	Heel erg	Een beetje	Heel erg	Best wel	Helemaal niet				
9-8-2023 23:15:02		9-8-2023	20:30:00	22:00:00	ZV Parnassia	9		Nat pak	Short board	Heel erg	Heel erg	Heel erg	Best wel	Een beetje	Best wel	Heel erg	Helemaal niet				
9-8-2023 23:14:14		9-8-2023	20:30:00	22:00:00	ZV Bloemendaal	9		Nat pak	Fish of funboard	Heel erg	Best wel	Heel erg	Best wel	Een beetje	Best wel	Heel erg	Helemaal niet				
9-8-2023 8:48:41		8-8-2023	20:00:00	21:30:00	ZV Bloemendaal	7		Nat pak	Short board	Helemaal niet	Heel erg	Een beetje	Best wel	Best wel	Helemaal niet	Heel erg	Een beetje				
9-8-2023 8:47:43		6-8-2023	17:00:00	21:00:00	IJmuiden	6		Nat pak	Short board	Helemaal niet	Best wel	Een beetje	Heel erg	Best wel	Helemaal niet	Heel erg	Heel erg				
9-8-2023 8:46:42		5-8-2023	19:30:00	21:00:00	ZV Bloemendaal	8		Nat pak	Fish of funboard	Best wel	Een beetje	Best wel	Best wel	Best wel	Helemaal niet	Een beetje	Helemaal niet				
9-8-2023 8:45:23		5-8-2023	6:30:00	9:00:00	ZV Bloemendaal	7		Nat pak	Short board	Heel erg	Best wel	Een beetje	Een beetje	Helemaal niet	Een beetje	Best wel	Helemaal niet				
6-8-2023 19:30:16		6-8-2023	18:45:00	21:00:00	ZV Bloemendaal	8		Nat pak	Longboard	Best wel	Best wel	Een beetje	Een beetje	Best wel	Een beetje	Een beetje	Helemaal niet				
6-8-2023 19:27:05		6-8-2023	7:00:00	9:00:00	ZV Bloemendaal	8		Nat pak	Short board	Heel erg	Heel erg	Helemaal niet	Heel erg	Helemaal niet	Een beetje	Heel erg	Helemaal niet				
6-8-2023 9:22:10		5-8-2023	18:45:00	20:00:00	ZV Bloemendaal	8		Nat pak	Fish of funboard	Best wel	Een beetje	Best wel	Een beetje	Best wel	Een beetje	Best wel	Helemaal niet				
5-8-2023 11:54:28		5-8-2023	7:00:00	9:00:00	ZV Bloemendaal	8		Nat pak	Short board	Heel erg	Best wel	Een beetje	Heel erg	Een beetje	Een beetje	Best wel	Helemaal niet				
5-8-2023 9:29:18		5-8-2023	7:00:00	8:15:00	ZV Bloemendaal	8		Nat pak	Fish of funboard	Heel erg	Best wel	Een beetje	Best wel	Een beetje	Een beetje	Best wel	Helemaal niet				
5-8-2023 9:21:34		5-8-2023	6:45:00	9:00:00	Camperduin	10		Nat pak	Longboard	Heel erg	Heel erg	Heel erg	Heel erg	Een beetje	Helemaal niet	Heel erg	Helemaal niet				
4-8-2023 23:40:09		4-8-2023	16:00:00	18:00:00	ZV Parnassia	5		Nat pak	Fish of funboard	Een beetje	Een beetje	Een beetje	Helemaal niet	Een beetje	Helemaal niet	Helemaal niet	Heel erg				
3-8-2023 8:51:10		1-8-2023	18:00:00	20:00:00	Camperduin	7		Nat pak	Fish of funboard	Een beetje	Best wel	Een beetje	Best wel	Helemaal niet	Helemaal niet	Best wel	Best wel				
27-7-2023 15:18:25		27-7-2023	13:45:00	15:00:00	Wijk aan zee	6		Nat pak	Fish of funboard	Helemaal niet	Een beetje	Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet	Een beetje	Een beetje				
27-7-2023 15:18:03		27-7-2023	13:45:00	15:00:00	Wijk aan zee	6		Nat pak	Fish of funboard	Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet	Een beetje	Een beetje				
27-7-2023 11:57:40		27-7-2023	7:30:00	8:30:00	Wijk aan zee	8		Cam		Heel erg											
25-7-2023 23:45:01		25-7-2023	19:40:00	21:40:00	ZV Parnassia	4		Nat pak	Fish of funboard	Helemaal niet	Helemaal niet	Een beetje	Een beetje	Een beetje	Een beetje	Een beetje	Een beetje				
24-7-2023 19:41:39		23-7-2023	13:00:00	14:30:00	Wijk aan zee	7		Nat pak	Short board	Een beetje	Best wel	Een beetje	Een beetje	Helemaal niet	Een beetje	Best wel	Heel erg				
24-7-2023 17:20:10		24-7-2023	16:40:00	17:40:00	ZV Parnassia	3		Cam		Helemaal niet							Heel erg				
23-7-2023 23:09:28		23-7-2023	13:00:00	14:30:00	Wijk aan zee	7		Nat pak	Fish of funboard	Helemaal niet	Een beetje	Een beetje	Een beetje	Helemaal niet	Helemaal niet	Een beetje	Heel erg				
23-7-2023 22:08:48		23-7-2023	13:00:00	15:00:00	Wijk aan zee	7		Nat pak	Fish of funboard	Helemaal niet	Een beetje	Een beetje	Een beetje	Helemaal niet	Helemaal niet	Een beetje	Heel erg				
23-7-2023 17:40:52		23-7-2023	17:00:00	18:10:00	ZV Parnassia	3		Cam													
23-7-2023 17:40:05		23-7-2023	17:10:00	18:10:00	Wijk aan zee	7		Cam													
22-7-2023 0:58:53		21-7-2023	14:00:00	16:15:00	Wijk aan zee	8		Nat pak	Fish of funboard	Heel erg	Een beetje	Heel erg	Een beetje	Helemaal niet	Een beetje	Een beetje	Helemaal niet				
22-7-2023 0:13:39		22-7-2023	21:00:00	22:00:00	Wijk aan zee	6		Eyeball					Best wel								
20-7-2023 23:50:31		20-7-2023	20:00:00	22:00:00	Camperduin 	8		Nat pak	Longboard	Best wel	Een beetje	Een beetje	Een beetje	Helemaal niet	Een beetje	Een beetje	Helemaal niet				
20-7-2023 22:03:34		20-7-2023	16:00:00	18:00:00	ZV Parnassia	6		Nat pak	Fish of funboard	Een beetje	Een beetje	Helemaal niet	Een beetje	Een beetje	Een beetje	Een beetje	Helemaal niet				
20-7-2023 20:14:18		20-7-2023	17:00:00	18:00:00	ZV Parnassia	6		Nat pak	Fish of funboard	Best wel	Helemaal niet	Een beetje	Een beetje	Helemaal niet	Best wel	Helemaal niet	Helemaal niet				
20-7-2023 19:12:22		20-7-2023	16:00:00	19:00:00	ZV Bloemendaal	8		Nat pak	Short board	Heel erg	Een beetje	Een beetje	Best wel	Een beetje	Best wel	Een beetje	Een beetje				
20-7-2023 19:09:10		20-7-2023	17:00:00	18:30:00	ZV Parnassia	7		Nat pak	Fish of funboard	Best wel	Een beetje	Een beetje	Een beetje	Helemaal niet	Een beetje	Helemaal niet	Helemaal niet				
20-7-2023 11:42:18		20-7-2023	11:10:00	12:40:00	Wijk aan zee	7		Cam	Longboard	Best wel						Een beetje					
19-7-2023 22:10:51		19-7-2023	18:00:00	20:00:00	IJmuiden	5		Nat pak	Longboard	Een beetje	Helemaal niet	Een beetje	Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet				
16-7-2023 21:07:30		16-7-2023	13:00:00	15:00:00	Wijk aan zee	6		Eyeball		Helemaal niet						Een beetje	Heel erg				
16-7-2023 15:04:02		16-7-2023	13:30:00	14:30:00	Wijk aan zee	5		Eyeball		Helemaal niet					Helemaal niet	Een beetje	Heel erg				
9-7-2023 16:26:31		9-7-2023	16:00:00	17:00:00	ZV Bloemendaal	1		Cam													
9-7-2023 0:00:00		30-4-2018			Domburg	10		Hind sight (Boekje)													Boek : Was goed, overhead barrels
9-7-2023 0:00:00		29-7-2018	Voor werk extra vroeg gegaan		Terheijde	9		Hind sight (Boekje)													Boek : Sets met lange periode, heuphoog, longboard golven
9-7-2023 0:00:00		26-6-2019				4		Hind sight (Whatsapp)													Maite : Rommelig
9-7-2023 0:00:00		27-6-2019				6		Hind sight (Whatsapp)													Maite : Rommelig, maar minder hoogte en meer kracht dan dag ervoor
9-7-2023 0:00:00		6-12-2019						Hind sight (Whatsapp)													Maite tegen yael in whatsapp gezegd dat ze de dag na 5 dec gingen surfen : ?
9-7-2023 0:00:00		13-12-2019	11:00	13:00				Hind sight (Whatsapp)													Maite tegen Pim in Whatsapp de dag ervoor (12-dec-2019) dat we met stijn gingen : ?
9-7-2023 0:00:00		24-12-2019	12:00					Hind sight (Whatsapp)													Pim tegen Mait in whatsapp : ?
9-7-2023 0:00:00		5-2-2020				9		Hind sight (Whatsapp)													Pim tegen Maite in whatsapp op 4 feb : Zieke surf
9-7-2023 0:00:00		29-2-2020	11:00	12:30	Zandvoort	8		Hind sight (Whatsapp)													Maite tegen Bas in Whatsapp dat er later zieke surf kwam : Goede surf. "Wij gaan in de middag surfen" "Er is goeie surf" Om 13:30 stonden we bij Bas voor de deur, dus daarvoor gesurfd.
9-7-2023 0:00:00		30-4-2020	In avond			9		Hind sight (Whatsapp)													Volgens Maite tegen Pim Whatsapp : Zieke surf
9-7-2023 0:00:00		4-6-2020						Hind sight (Whatsapp)													Pim tegen Maite in whatsapp : ?
9-7-2023 0:00:00		29-6-2020	In avond					Hind sight (Whatsapp)													Pim en Maite in Striep app : ?
9-7-2023 0:00:00		29-7-2020	ochtend en avondsessie		Belgie	9		Hind sight (Boekje)													Boek: Savonds was beter.  Was in belgie maar in nl ook heel goed : 1 tot 1,5. Clean en krachtig. Barrels en geen wind
9-7-2023 0:00:00		23-9-2020	19:30	20:30	Wijk aan zee	8		Hind sight (Surfweer)													Surfweer:Zo hey… wie waren er nog meer op Wijk vanavond? Zeg maar met recht Wijkiki. Voor een half uur / drie kwartier echt bizar lange lijnen die maar door rolden zonder eind - september 23, 2020 om 9:53 pm (https://surfweer.nl/surf/surfweer-woensdag-23-september-2020/)
9-7-2023 0:00:00		25-9-2020	9:00	10:00	Zandvoort	9		Hind sight (Whatsapp)													Surfweer : Twee meter, krachtige chaos
9-7-2023 0:00:00		25-9-2020	8:00	10:00	Wijk aan zee	8		Hind sight (Surfweer)													Surfweer : Mooi, offshore wind. Ochtend en middag
9-7-2023 0:00:00		27-9-2020	14:30	15:30	IJmuiden	10		Hind sight (Surfweer)													Surfweer.nl forum, met foto's van dikke golven. Buitenlandse omstandigheden. : Barrels en lange ritten
9-7-2023 0:00:00		28-9-2020	19:00	20:00	Wijk aan zee			Hind sight (Whatsapp)													Maite tegen Luuk via Whatsapp. Volgens mij was dit onze barrelsessie bij wijk. : Nog even checken of het dé epische dag bij wijk was
9-7-2023 0:00:00		2-11-2020				10		Hind sight (Boekje)													Boekje : Head high, clean, barrels
9-7-2023 0:00:00		22-12-2020				8		Hind sight (Whatsapp)													Pim : Nice
9-7-2023 0:00:00		25-12-2020				8		Hind sight (Whatsapp)													Maite : Goed
9-7-2023 0:00:00		29-12-2020				1		Hind sight (Whatsapp)													Berry : Flat
9-7-2023 0:00:00		31-12-2020				8		Hind sight (Whatsapp)													Berry : Clean
9-7-2023 0:00:00		1-1-2021				1		Hind sight (Whatsapp)													Berry : Flat
9-7-2023 0:00:00		2-1-2021				8		Hind sight (Whatsapp)													Onbekende bron : Clean
9-7-2023 0:00:00		30-1-2021				1		Hind sight (Whatsapp)													Onbekende bron : Flat
9-7-2023 0:00:00		7-2-2021	7:00	9:00	Schevingen	9		Hind sight (Boekje)													Boekje : Clean en hoog. sochtends vroeg
9-7-2023 0:00:00		7-2-2021	tijdens mid en hoog water		Schevingen	10		Hind sight (Boekje)													Boek : overhead golven, episch, cleane golven
9-7-2023 0:00:00		16-5-2021				1		Hind sight (Whatsapp)													Onbekende bron : Flat
9-7-2023 0:00:00		30-6-2021				7		Hind sight (Whatsapp)													Berry : Leuk
9-7-2023 0:00:00		16-8-2021	19:00					Hind sight (Whatsapp)													Pim zegt tegen Stijn dat ie net terug is van surf om 21:53 : ?
9-7-2023 0:00:00		29-8-2021	8:30	9:30	Bloemendaal	4		Hind sight (Whatsapp)													Filmpje Maite : Klotsbak
9-7-2023 0:00:00		20-10-2021				7		Hind sight (Whatsapp)													Pim : Lachen
9-7-2023 0:00:00		30-10-2021			Wijk aan Zee	1		Hind sight (Whatsapp)													Maite : Webcam was flat
9-7-2023 0:00:00		4-11-2021	14:00	16:00	Wijk aan Zee	9		Hind sight (Whatsapp)													Pim gaan surfen tijdens werk (sick goede sessie in zn eentje met oranje plankje?) Pim had om 16:00 een afspraak voor werk, dus daarvoor gegaan: Goede surf. SMS van tobias zegt: "rond 13:30 gaat wind eruit. Wijk is te shortboarden van 14:00 - 16:00. Zvoort en bloemendaal van 13:00 - 15:00"
9-7-2023 0:00:00		23-11-2021				8		Hind sight (Whatsapp)													Berry : Heel lekker maar zwaar
9-7-2023 0:00:00		30-12-2021				3		Hind sight (Whatsapp)													Berry : Slecht
9-7-2023 0:00:00		5-1-2022				7		Hind sight (Whatsapp)													Berry : Windy/pittig/groot
9-7-2023 0:00:00		15-1-2022	14:30	15:30	Bloemendaal	6		Hind sight (Whatsapp)													Filmpje Maite in whatsapp 15:00 ('very smoll') bij rapa nui en bericht yael 17:30 ('klein')
9-7-2023 0:00:00		2-2-2022				4		Hind sight (Whatsapp)													Berry : Windy
9-7-2023 0:00:00		23-3-2022				1		Hind sight (Whatsapp)													Maite : Flat
9-7-2023 0:00:00		26-5-2022				1		Hind sight (Whatsapp)													Maite : Surf looks flat
9-7-2023 0:00:00		29-5-2022	13:30	14:30	IJmuiden	8		Hind sight (Filmpje Mees)													Filmpjes Mees : Middelhoog, was prima
9-7-2023 0:00:00		17-8-2022				9		Hind sight (Whatsapp)													Daniel : Heel nice
9-7-2023 0:00:00		1-1-2023				9		Hind sight (Whatsapp)													Daniel : Echt nice
9-7-2023 0:00:00		2-1-2023			Wijk aan Zee	9		Hind sight (Whatsapp)													Berrys vrienden : Clean en hoog
9-7-2023 0:00:00		14-1-2023	7:00:00	9:30:00	Wijk aan Zee	9		Hind sight (Surfweer)													Surfweer.nl forum : "Damn! Wijk was magisch vanochtend!"  - januari 14, 2023 om 11:04 am (https://surfweer.nl/surf/surfweer-vrijdag-13-januari-2023/)
9-7-2023 0:00:00		16-1-2023	9:00:00	11:00:00	ZV Bloemendaal	8		Hind sight (Surfweer)													Surfweer.nl forum: Ziet er goed uit op de cams.- januari 16, 2023 om 8:56 am, Was inderdaad heerlijk. Wel wat aan de holle kant… ((https://surfweer.nl/surf/surfweer-vrijdag-13-januari-2023/))
9-7-2023 0:00:00		16-1-2023	9:00:00	11:00:00	Wijk aan Zee	8		Hind sight (Surfweer)													Surfweer.nl forum: Ziet er goed uit op de cams.- januari 16, 2023 om 8:56 am, Was inderdaad heerlijk. Wel wat aan de holle kant… ((https://surfweer.nl/surf/surfweer-vrijdag-13-januari-2023/))
5-7-2023 22:46:46		5-7-2023	19:00:00	20:30:00	Wijk aan zee	7		Nat pak	Fish of funboard	Helemaal niet	Heel erg	Een beetje	Best wel	Helemaal niet	Helemaal niet	Heel erg	Een beetje				
5-7-2023 21:17:40		5-7-2023	19:00:00	20:00:00	Wijk aan zee	7		Nat pak	Fish of funboard	Helemaal niet	Best wel	Best wel	Best wel	Een beetje	Een beetje	Best wel	Een beetje				
5-7-2023		5-7-2023	19:00	21:00	Wijk aan zee	8,5		Hind sight (Whatsapp)	Fish of funboard							Heel erg					Sessie na Poly (Pim was toen tot 18:00 a 18:30 een weg afsluiten bij Laaglandersluisweg)
4-7-2023 22:57:37		4-7-2023	19:00:00	21:30:00	ZV Parnassia	7		Nat pak	Fish of funboard	Best wel	Een beetje	Best wel	Een beetje	Een beetje	Een beetje	Best wel	Helemaal niet				
4-7-2023 22:55:45		3-7-2023	19:30:00	21:30:00	Wijk aan zee	8		Nat pak	Short board	Helemaal niet	Best wel	Best wel	Een beetje	Helemaal niet	Een beetje	Best wel	Heel erg				
4-7-2023 22:45:30		4-7-2023	21:00:00	22:30:00	ZV Parnassia	8		Nat pak	Longboard	Best wel	Best wel	Best wel	Best wel	Best wel	Een beetje	Best wel	Helemaal niet				
4-7-2023 22:41:42		4-7-2023	20:45:00	22:00:00	ZV Parnassia	7		Nat pak	Longboard	Best wel	Best wel	Een beetje	Een beetje	Heel erg	Best wel	Best wel	Helemaal niet				
4-7-2023 22:15:43		4-7-2022	16:00:00	18:30:00	Wijk aan zee	9		Nat pak	Short board	Best wel	Best wel	Best wel	Best wel	Een beetje	Best wel	Best wel	Een beetje				
4-7-2023 7:46:09		4-7-2023	19:00:00	21:30:00	ZV Parnassia	8		Nat pak	Short board	Heel erg	Best wel	Best wel	Heel erg	Een beetje	Een beetje	Best wel	Helemaal niet				
4-7-2023		4-7-2023	15:00	16:00	Wijk aan zee	9		Hind sight (Whatsapp)	Fish of funboard												
4-7-2023		4-7-2023	15:00	16:00	Wijk aan zee	7		Hind sight (Whatsapp)	Longboard												
4-7-2023		4-7-2023	18:00	19:00	Wijk aan zee	8		Hind sight (Whatsapp)	Fish of funboard												
4-7-2023		4-7-2023	18:00	19:00	Wijk aan zee	8		Hind sight (Whatsapp)	Longboard												
3-7-2023 22:50:27		3-7-2023	19:00:00	21:00:00	Wijk aan zee	8		Nat pak	Short board	Een beetje	Best wel	Best wel	Een beetje	Helemaal niet	Best wel	Heel erg	Heel erg				
3-7-2023 21:20:25		3-7-2023	19:00:00	21:00:00	Wijk aan zee	7		Nat pak	Short board	Helemaal niet	Een beetje	Best wel	Een beetje	Helemaal niet	Best wel	Heel erg	Heel erg				
2-7-2023 9:53:53		2-7-2023	9:51:00	10:00:00	Wijk aan zee	6		Cam		Helemaal niet						Best wel	Best wel				
27-6-2023 21:49:44		28-7-2019	15:00:00	17:00:00		1		Hind sight (Whatsapp)								Helemaal niet					
27-6-2023 21:48:25		12-6-2019	10:00:00	12:00:00		7		Hind sight (Whatsapp)													
27-6-2023 21:47:50		10-12-2019	16:00:00	18:00:00		3		Hind sight (Whatsapp)													
27-6-2023 21:47:32		29-9-2022	10:00:00	12:00:00		7		Hind sight (Whatsapp)													
27-6-2023 21:46:49		18-4-2020	17:00:00	19:00:00	Scheveningen zwarte pad	9		Hind sight (Whatsapp)													
27-6-2023 21:44:22		21-11-2021	16:00:00	17:00:00		8		Hind sight (Whatsapp)													
27-6-2023 21:44:15		8-6-2022	9:00:00	11:00:00		8		Hind sight (Whatsapp)													
27-6-2023 21:43:26		26-5-2022	9:00:00	11:00:00		7		Hind sight (Whatsapp)													
27-6-2023 21:43:01		27-7-2022	15:00:00	16:00:00		7		Hind sight (Whatsapp)													
27-6-2023 21:41:55		23-11-2021	15:30:00	17:00:00		6		Hind sight (Whatsapp)									Best wel				
27-6-2023 21:40:54		20-12-2020	15:00:00	17:00:00		7		Hind sight (Whatsapp)	Short board	Best wel											
27-6-2023 21:40:43		20-6-2022	21:00:00	22:00:00		7		Hind sight (Whatsapp)													
27-6-2023 21:39:28		28-11-2021	16:30:00	17:30:00		7		Hind sight (Whatsapp)			Een beetje										
27-6-2023 21:39:17		15-7-2021	19:00:00	21:00:00		8		Hind sight (Whatsapp)													
27-6-2023 21:38:06		27-11-2021	11:00:00	13:00:00		4		Hind sight (Whatsapp)													
27-6-2023 21:37:28		3-6-2021	9:00:00	11:00:00		10		Hind sight (Whatsapp)		Heel erg											
27-6-2023 21:36:52		18-9-2022	10:00:00	12:00:00		6		Hind sight (Whatsapp)		Een beetje											
27-6-2023 21:34:13		29-5-2022	19:00:00	21:00:00		9		Hind sight (Whatsapp)			Best wel						Een beetje				
27-6-2023 21:30:57		28-8-2021	8:30:00	10:30:00	IJmuiden	9		Hind sight (Whatsapp)	Longboard	Heel erg		Best wel				Best wel					
27-6-2023 20:11:18		26-6-2023	19:30:00	22:00:00	ZV Parnassia	6	Een beetje	Nat pak		Een beetje	Een beetje	Een beetje		Best wel	Een beetje	Best wel					
27-6-2023 19:50:32		26-6-2023	14:30:00	15:30:00	ZV Parnassia	5		Eyeball		Helemaal niet											
27-6-2023 19:25:32		26-6-2023	19:00:00	20:15:00	ZV Parnassia	7	Best wel	Nat pak		Een beetje	Best wel	Een beetje		Best wel	Helemaal niet	Een beetje					
27-6-2023 15:56:09		26-6-2023	19:30:00	20:30:00	ZV Parnassia	7	Een beetje	Nat pak		Best wel	Een beetje	Een beetje		Helemaal niet	Helemaal niet	Best wel					
26-6-2023 23:26:55		26-6-2023	20:00:00	21:30:00	ZV Parnassia	6	Een beetje	Nat pak		Een beetje	Een beetje	Helemaal niet		Een beetje	Een beetje	Een beetje					
26-6-2023 14:55:07		26-6-2023	14:00:00	15:00:00	ZV Bloemendaal	2		Cam													
22-6-2023 14:46:07		22-6-2023	14:45:00	15:00:00	ZV Bloemendaal	1		Eyeball								Helemaal niet					
21-6-2023 10:32:57		21-6-2023	10:00:00	11:00:00	ZV Parnassia	2		Cam													
20-6-2023 13:20:54		20-6-2023	13:00:00	13:30:00	ZV Bloemendaal	1		Cam													
19-6-2023 21:13:32		19-6-2023	21:00:00	21:30:00	ZV Bloemendaal	2		Cam													
19-6-2023 21:13:22		19-6-2023	21:00:00	21:30:00	ZV Bloemendaal	2		Cam													
19-6-2023 21:11:18		19-6-2023	20:30:00	21:30:00	ZV Parnassia	2		Cam													
19-6-2023 21:10:49		19-6-2023	21:09:00	21:09:00	Wijk aan zee	2		Eyeball													
12-6-2023 11:57:32		7-6-2023	20:00:00	22:00:00	ZV Bloemendaal	7	Best wel			Heel erg	Een beetje	Een beetje		Helemaal niet	Helemaal niet	Een beetje					
10-6-2023 15:32:52		9-6-2023	19:00:00	20:15:00	ZV	6	Een beetje			Best wel	Een beetje	Een beetje		Helemaal niet	Helemaal niet	Helemaal niet					
4-6-2023 23:08:17		2-6-2023	16:30:00	17:20:00	ZV Bloemendaal	7	Een beetje			Een beetje	Best wel	Een beetje		Best wel	Helemaal niet						
